Provice;Country;Lat;Long;Date;Recovered
Guangdong;Mainland China;23.3417;113.4244;1/24/20;2
Guangdong;Mainland China;23.3417;113.4244;1/25/20;2
Guangdong;Mainland China;23.3417;113.4244;1/26/20;2
Guangdong;Mainland China;23.3417;113.4244;1/27/20;4
Guangdong;Mainland China;23.3417;113.4244;1/28/20;4
Guangdong;Mainland China;23.3417;113.4244;1/29/20;5
Guangdong;Mainland China;23.3417;113.4244;1/30/20;10
Guangdong;Mainland China;23.3417;113.4244;1/31/20;11
Guangdong;Mainland China;23.3417;113.4244;2/1/20;14
Guangdong;Mainland China;23.3417;113.4244;2/2/20;15
Guangdong;Mainland China;23.3417;113.4244;2/3/20;21
Guangdong;Mainland China;23.3417;113.4244;2/4/20;30
Guangdong;Mainland China;23.3417;113.4244;2/5/20;49
Guangdong;Mainland China;23.3417;113.4244;2/6/20;69
Guangdong;Mainland China;23.3417;113.4244;2/7/20;88
Guangdong;Mainland China;23.3417;113.4244;2/8/20;112
Guangdong;Mainland China;23.3417;113.4244;2/9/20;141
Guangdong;Mainland China;23.3417;113.4244;2/10/20;167
Guangdong;Mainland China;23.3417;113.4244;2/11/20;212
Guangdong;Mainland China;23.3417;113.4244;2/12/20;275
Guangdong;Mainland China;23.3417;113.4244;2/13/20;314
Guangdong;Mainland China;23.3417;113.4244;2/14/20;362
Guangdong;Mainland China;23.3417;113.4244;2/15/20;410
Guangdong;Mainland China;23.3417;113.4244;2/16/20;465
Guangdong;Mainland China;23.3417;113.4244;2/17/20;524
Guangdong;Mainland China;23.3417;113.4244;2/18/20;565
Guangdong;Mainland China;23.3417;113.4244;2/19/20;606
Guangdong;Mainland China;23.3417;113.4244;2/20/20;642
Guangdong;Mainland China;23.3417;113.4244;2/21/20;690
Guangdong;Mainland China;23.3417;113.4244;2/22/20;728
Guangdong;Mainland China;23.3417;113.4244;2/23/20;755
Guangdong;Mainland China;23.3417;113.4244;2/24/20;786
Guangdong;Mainland China;23.3417;113.4244;2/25/20;822
Guangdong;Mainland China;23.3417;113.4244;2/26/20;851
Guangdong;Mainland China;23.3417;113.4244;2/27/20;890
Guangdong;Mainland China;23.3417;113.4244;2/28/20;935
Guangdong;Mainland China;23.3417;113.4244;2/29/20;983
Guangdong;Mainland China;23.3417;113.4244;3/1/20;1016
Guangdong;Mainland China;23.3417;113.4244;3/2/20;1059
Guangdong;Mainland China;23.3417;113.4244;3/3/20;1101
Guangdong;Mainland China;23.3417;113.4244;3/4/20;1133
Guangdong;Mainland China;23.3417;113.4244;3/5/20;1181
Guangdong;Mainland China;23.3417;113.4244;3/6/20;1216
Guangdong;Mainland China;23.3417;113.4244;3/7/20;1237
Guangxi;Mainland China;23.8298;108.7881;1/22/20;0
Guangxi;Mainland China;23.8298;108.7881;1/23/20;0
Guangxi;Mainland China;23.8298;108.7881;1/24/20;0
Guangxi;Mainland China;23.8298;108.7881;1/25/20;0
Guangxi;Mainland China;23.8298;108.7881;1/26/20;0
Guangxi;Mainland China;23.8298;108.7881;1/27/20;0
Guangxi;Mainland China;23.8298;108.7881;1/28/20;2
Guangxi;Mainland China;23.8298;108.7881;1/29/20;2
Guangxi;Mainland China;23.8298;108.7881;1/30/20;2
Guangxi;Mainland China;23.8298;108.7881;1/31/20;2
Guangxi;Mainland China;23.8298;108.7881;2/1/20;2
Guangxi;Mainland China;23.8298;108.7881;2/2/20;2
Guangxi;Mainland China;23.8298;108.7881;2/3/20;7
Guangxi;Mainland China;23.8298;108.7881;2/4/20;10
Guangxi;Mainland China;23.8298;108.7881;2/5/20;13
Guangxi;Mainland China;23.8298;108.7881;2/6/20;14
Guangxi;Mainland China;23.8298;108.7881;2/7/20;17
Guangxi;Mainland China;23.8298;108.7881;2/8/20;17
Guangxi;Mainland China;23.8298;108.7881;2/9/20;18
Guangxi;Mainland China;23.8298;108.7881;2/10/20;24
Guangxi;Mainland China;23.8298;108.7881;2/11/20;33
Guangxi;Mainland China;23.8298;108.7881;2/12/20;32
Guangxi;Mainland China;23.8298;108.7881;2/13/20;33
Guangxi;Mainland China;23.8298;108.7881;2/14/20;36
Guangxi;Mainland China;23.8298;108.7881;2/15/20;44
Guangxi;Mainland China;23.8298;108.7881;2/16/20;49
Guangxi;Mainland China;23.8298;108.7881;2/17/20;53
Guangxi;Mainland China;23.8298;108.7881;2/18/20;69
Guangxi;Mainland China;23.8298;108.7881;2/19/20;86
Guangxi;Mainland China;23.8298;108.7881;2/20/20;90
Guangxi;Mainland China;23.8298;108.7881;2/21/20;97
Guangxi;Mainland China;23.8298;108.7881;2/22/20;104
Guangxi;Mainland China;23.8298;108.7881;2/23/20;106
Guangxi;Mainland China;23.8298;108.7881;2/24/20;112
Guangxi;Mainland China;23.8298;108.7881;2/25/20;134
Guangxi;Mainland China;23.8298;108.7881;2/26/20;147
Guangxi;Mainland China;23.8298;108.7881;2/27/20;161
Guangxi;Mainland China;23.8298;108.7881;2/28/20;168
Guangxi;Mainland China;23.8298;108.7881;2/29/20;176
Guangxi;Mainland China;23.8298;108.7881;3/1/20;181
Guangxi;Mainland China;23.8298;108.7881;3/2/20;192
Guangxi;Mainland China;23.8298;108.7881;3/3/20;202
Guangxi;Mainland China;23.8298;108.7881;3/4/20;210
Guangxi;Mainland China;23.8298;108.7881;3/5/20;214
Guangxi;Mainland China;23.8298;108.7881;3/6/20;217
Guangxi;Mainland China;23.8298;108.7881;3/7/20;218
Guizhou;Mainland China;26.8154;106.8748;1/22/20;0
Guizhou;Mainland China;26.8154;106.8748;1/23/20;0
Guizhou;Mainland China;26.8154;106.8748;1/24/20;0
Guizhou;Mainland China;26.8154;106.8748;1/25/20;0
Guizhou;Mainland China;26.8154;106.8748;1/26/20;0
Guizhou;Mainland China;26.8154;106.8748;1/27/20;0
Guizhou;Mainland China;26.8154;106.8748;1/28/20;0
Guizhou;Mainland China;26.8154;106.8748;1/29/20;1
Guizhou;Mainland China;26.8154;106.8748;1/30/20;1
Guizhou;Mainland China;26.8154;106.8748;1/31/20;2
Guizhou;Mainland China;26.8154;106.8748;2/1/20;2
Guizhou;Mainland China;26.8154;106.8748;2/2/20;2
Guizhou;Mainland China;26.8154;106.8748;2/3/20;2
Guizhou;Mainland China;26.8154;106.8748;2/4/20;2
Guizhou;Mainland China;26.8154;106.8748;2/5/20;9
Guizhou;Mainland China;26.8154;106.8748;2/6/20;6
Guizhou;Mainland China;26.8154;106.8748;2/7/20;6
Guizhou;Mainland China;26.8154;106.8748;2/8/20;7
Guizhou;Mainland China;26.8154;106.8748;2/9/20;7
Guizhou;Mainland China;26.8154;106.8748;2/10/20;10
Guizhou;Mainland China;26.8154;106.8748;2/11/20;17
Guizhou;Mainland China;26.8154;106.8748;2/12/20;18
Guizhou;Mainland China;26.8154;106.8748;2/13/20;27
Guizhou;Mainland China;26.8154;106.8748;2/14/20;28
Guizhou;Mainland China;26.8154;106.8748;2/15/20;41
Guizhou;Mainland China;26.8154;106.8748;2/16/20;46
Guizhou;Mainland China;26.8154;106.8748;2/17/20;57
Guizhou;Mainland China;26.8154;106.8748;2/18/20;66
Guizhou;Mainland China;26.8154;106.8748;2/19/20;70
Guizhou;Mainland China;26.8154;106.8748;2/20/20;72
Guizhou;Mainland China;26.8154;106.8748;2/21/20;77
Guizhou;Mainland China;26.8154;106.8748;2/22/20;90
Guizhou;Mainland China;26.8154;106.8748;2/23/20;102
Guizhou;Mainland China;26.8154;106.8748;2/24/20;102
Guizhou;Mainland China;26.8154;106.8748;2/25/20;104
Guizhou;Mainland China;26.8154;106.8748;2/26/20;104
Guizhou;Mainland China;26.8154;106.8748;2/27/20;112
Guizhou;Mainland China;26.8154;106.8748;2/28/20;112
Guizhou;Mainland China;26.8154;106.8748;2/29/20;112
Guizhou;Mainland China;26.8154;106.8748;3/1/20;112
Guizhou;Mainland China;26.8154;106.8748;3/2/20;114
Guizhou;Mainland China;26.8154;106.8748;3/3/20;114
Guizhou;Mainland China;26.8154;106.8748;3/4/20;114
Guizhou;Mainland China;26.8154;106.8748;3/5/20;114
Guizhou;Mainland China;26.8154;106.8748;3/6/20;114
Guizhou;Mainland China;26.8154;106.8748;3/7/20;115
Hainan;Mainland China;19.1959;109.7453;1/22/20;0
Hainan;Mainland China;19.1959;109.7453;1/23/20;0
Hainan;Mainland China;19.1959;109.7453;1/24/20;0
Hainan;Mainland China;19.1959;109.7453;1/25/20;0
Hainan;Mainland China;19.1959;109.7453;1/26/20;0
Hainan;Mainland China;19.1959;109.7453;1/27/20;0
Hainan;Mainland China;19.1959;109.7453;1/28/20;0
Hainan;Mainland China;19.1959;109.7453;1/29/20;0
Hainan;Mainland China;19.1959;109.7453;1/30/20;1
Hainan;Mainland China;19.1959;109.7453;1/31/20;1
Hainan;Mainland China;19.1959;109.7453;2/1/20;1
Hainan;Mainland China;19.1959;109.7453;2/2/20;4
Hainan;Mainland China;19.1959;109.7453;2/3/20;4
Hainan;Mainland China;19.1959;109.7453;2/4/20;5
Hainan;Mainland China;19.1959;109.7453;2/5/20;5
Hainan;Mainland China;19.1959;109.7453;2/6/20;8
Hainan;Mainland China;19.1959;109.7453;2/7/20;10
Hainan;Mainland China;19.1959;109.7453;2/8/20;14
Hainan;Mainland China;19.1959;109.7453;2/9/20;19
Hainan;Mainland China;19.1959;109.7453;2/10/20;19
Hainan;Mainland China;19.1959;109.7453;2/11/20;20
Hainan;Mainland China;19.1959;109.7453;2/12/20;27
Hainan;Mainland China;19.1959;109.7453;2/13/20;30
Hainan;Mainland China;19.1959;109.7453;2/14/20;43
Hainan;Mainland China;19.1959;109.7453;2/15/20;39
Hainan;Mainland China;19.1959;109.7453;2/16/20;52
Hainan;Mainland China;19.1959;109.7453;2/17/20;59
Hainan;Mainland China;19.1959;109.7453;2/18/20;79
Hainan;Mainland China;19.1959;109.7453;2/19/20;84
Hainan;Mainland China;19.1959;109.7453;2/20/20;86
Hainan;Mainland China;19.1959;109.7453;2/21/20;95
Hainan;Mainland China;19.1959;109.7453;2/22/20;104
Hainan;Mainland China;19.1959;109.7453;2/23/20;106
Hainan;Mainland China;19.1959;109.7453;2/24/20;116
Hainan;Mainland China;19.1959;109.7453;2/25/20;124
Hainan;Mainland China;19.1959;109.7453;2/26/20;129
Hainan;Mainland China;19.1959;109.7453;2/27/20;131
Hainan;Mainland China;19.1959;109.7453;2/28/20;133
Hainan;Mainland China;19.1959;109.7453;2/29/20;148
Hainan;Mainland China;19.1959;109.7453;3/1/20;149
Hainan;Mainland China;19.1959;109.7453;3/2/20;151
Hainan;Mainland China;19.1959;109.7453;3/3/20;155
Hainan;Mainland China;19.1959;109.7453;3/4/20;158
Hainan;Mainland China;19.1959;109.7453;3/5/20;158
Hainan;Mainland China;19.1959;109.7453;3/6/20;158
Hainan;Mainland China;19.1959;109.7453;3/7/20;158
Hebei;Mainland China;38.0428;114.5149;1/22/20;0
Hebei;Mainland China;38.0428;114.5149;1/23/20;0
Hebei;Mainland China;38.0428;114.5149;1/24/20;0
Hebei;Mainland China;38.0428;114.5149;1/25/20;0
Hebei;Mainland China;38.0428;114.5149;1/26/20;0
Hebei;Mainland China;38.0428;114.5149;1/27/20;0
Hebei;Mainland China;38.0428;114.5149;1/28/20;0
Hebei;Mainland China;38.0428;114.5149;1/29/20;0
Hebei;Mainland China;38.0428;114.5149;1/30/20;0
Hebei;Mainland China;38.0428;114.5149;1/31/20;0
Hebei;Mainland China;38.0428;114.5149;2/1/20;0
Hebei;Mainland China;38.0428;114.5149;2/2/20;3
Hebei;Mainland China;38.0428;114.5149;2/3/20;3
Hebei;Mainland China;38.0428;114.5149;2/4/20;4
Hebei;Mainland China;38.0428;114.5149;2/5/20;6
Hebei;Mainland China;38.0428;114.5149;2/6/20;13
Hebei;Mainland China;38.0428;114.5149;2/7/20;22
Hebei;Mainland China;38.0428;114.5149;2/8/20;30
Hebei;Mainland China;38.0428;114.5149;2/9/20;34
Hebei;Mainland China;38.0428;114.5149;2/10/20;41
Hebei;Mainland China;38.0428;114.5149;2/11/20;48
Hebei;Mainland China;38.0428;114.5149;2/12/20;54
Hebei;Mainland China;38.0428;114.5149;2/13/20;68
Hebei;Mainland China;38.0428;114.5149;2/14/20;87
Hebei;Mainland China;38.0428;114.5149;2/15/20;101
Hebei;Mainland China;38.0428;114.5149;2/16/20;105
Hebei;Mainland China;38.0428;114.5149;2/17/20;122
Hebei;Mainland China;38.0428;114.5149;2/18/20;136
Hebei;Mainland China;38.0428;114.5149;2/19/20;152
Hebei;Mainland China;38.0428;114.5149;2/20/20;169
Hebei;Mainland China;38.0428;114.5149;2/21/20;184
Hebei;Mainland China;38.0428;114.5149;2/22/20;203
Hebei;Mainland China;38.0428;114.5149;2/23/20;219
Hebei;Mainland China;38.0428;114.5149;2/24/20;234
Hebei;Mainland China;38.0428;114.5149;2/25/20;248
Hebei;Mainland China;38.0428;114.5149;2/26/20;261
Hebei;Mainland China;38.0428;114.5149;2/27/20;274
Hebei;Mainland China;38.0428;114.5149;2/28/20;277
Hebei;Mainland China;38.0428;114.5149;2/29/20;282
Hebei;Mainland China;38.0428;114.5149;3/1/20;294
Hebei;Mainland China;38.0428;114.5149;3/2/20;296
Hebei;Mainland China;38.0428;114.5149;3/3/20;300
Hebei;Mainland China;38.0428;114.5149;3/4/20;301
Hebei;Mainland China;38.0428;114.5149;3/5/20;304
Hebei;Mainland China;38.0428;114.5149;3/6/20;305
Hebei;Mainland China;38.0428;114.5149;3/7/20;307
Heilongjiang;Mainland China;47.862;127.7615;1/22/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/23/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/24/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/25/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/26/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/27/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/28/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/29/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/30/20;0
Heilongjiang;Mainland China;47.862;127.7615;1/31/20;0
Heilongjiang;Mainland China;47.862;127.7615;2/1/20;2
Heilongjiang;Mainland China;47.862;127.7615;2/2/20;2
Heilongjiang;Mainland China;47.862;127.7615;2/3/20;2
Heilongjiang;Mainland China;47.862;127.7615;2/4/20;4
Heilongjiang;Mainland China;47.862;127.7615;2/5/20;7
